# LAMMPS data file written by WriteLammpsdata function in RASPA(written by Zhao Li)
1007  atoms
0  bonds
0  angles
0  dihedrals
0  impropers
0.0      36.174000000000 xlo xhi
0.0      31.409760388580 ylo yhi
0.0      39.621370056408 zlo zhi
  -18.246440127652    -0.161748620188    -0.088923995918 xy xz yz

5 atom types
0 bond types
0 angle types
0 dihedral types
0 improper types

Masses

1     83.800000000000  # Kr_
2     15.999404927130  # O
3     12.010735896764  # C
4     51.996133070619  # Cr
5      1.007940753896  # H

Pair Coeffs

1      0.330670586763      3.636000000000 # Kr_
2      0.059993659942      3.120000000000 # O
3      0.104983936891      3.430000000000 # C
4      0.015003382993      2.690000000000 # Cr
5      0.043996675426      2.570000000000 # H

Atoms

199  1  3                 0.0		          -1.29025            14.58077            21.53402		# C
200  1  3                 0.0		          -0.10790            13.88167            21.84564		# C
201  1  3                 0.0		           1.04511            14.12023            21.07362		# C
202  1  3                 0.0		           1.01494            15.03631            20.01751		# C
203  1  3                 0.0		           8.84709             0.92009            38.44283		# C
204  1  3                 0.0		           8.82417             1.71334            37.53550		# C
205  1  5                 0.0		           6.88683             0.31905            20.25385		# H
206  1  5                 0.0		          -2.19649            14.42087            22.10476		# H
207  1  5                 0.0		           1.97078            13.59899            21.28381		# H
208  1  5                 0.0		           1.83153            15.16230            39.24536		# H
209  1  3                 0.0		          13.33791             7.74668            39.56669		# C
210  1  3                 0.0		          -3.91376             6.90616            20.53061		# C
211  1  3                 0.0		          -3.14542             7.38229            21.59642		# C
212  1  3                 0.0		          -3.11636             8.76189            21.91082		# C
213  1  3                 0.0		          -3.88789             9.64127            21.11502		# C
214  1  3                 0.0		          -4.65411             9.15743            20.05039		# C
215  1  3                 0.0		          12.54618             7.25098            38.47176		# C
216  1  3                 0.0		          11.87947             6.83606            37.55729		# C
217  1  5                 0.0		          14.16841             5.84516            20.31071		# H
218  1  5                 0.0		          -2.57382             6.66172            22.16954		# H
219  1  5                 0.0		          -3.90350            10.70751            21.30798		# H
220  1  5                 0.0		          -5.31739             9.80689            39.26636		# H
221  1  3                 0.0		           4.37440             7.73484            39.52469		# C
222  1  3                 0.0		           3.26334             7.10413            20.00008		# C
