ID Temp Pres Molec_cm3overcm3
VEJHID_clean 298 10000 122.5552339059
XANKOO_clean 298 10000 89.377456046
XISDIO_clean 298 10000 76.5525146085
BIBXOB_clean 298 10000 132.5937626381
EBATUY_clean 298 10000 50.7824177237
EREFEN01_SL 298 10000 62.1914697646
HIVQAG_clean 298 10000 0.2731348777
HOQMUX_clean 298 10000 44.897898891
HUVHIR_clean 298 10000 45.2782866385
jacs.6b11422_R-1_clean 298 10000 38.8808194998
KUFVIS_clean 298 10000 55.0150754111
LORROB_clean 298 10000 35.797299651
NAHNES_clean 298 10000 116.6732264192
NOFQOQ_clean 298 10000 44.6789988778
OWIHIN_clean 298 10000 96.1264584926
RIRDED_clean 298 10000 59.4001405061
SEHMUO_clean 298 10000 42.3259117825
SUGSOE_clean 298 10000 109.6421948622
SUGVUM_clean 298 10000 56.6312145656
VIYTAA_clean 298 10000 65.4483478775
VOXKIE_clean 298 10000 37.4187072732
XAFBEN_clean 298 10000 61.1538990453
XEGKEB_clean 298 10000 81.9572120402
XOMCOT_clean 298 10000 52.382598289
YAGJOI_clean 298 10000 59.7628090231
YAWBAC_clean 298 10000 93.8272722055
YIKJOT_clean 298 10000 68.6853248721
COJTIF_clean 298 10000 132.6383610049
DOLWAE_clean 298 10000 70.6642269187
ELIYUU_clean 298 10000 0.4423235337
EQOCOC01_clean 298 10000 87.6872539003
FAHFUR_clean 298 10000 58.8150528244
GAHWIX_clean 298 10000 118.3814876227
GEZYOB_clean 298 10000 68.7294126646
GUFQIJ_clean 298 10000 19.8434021494
HOQMIL03_clean 298 10000 45.7766287764
LUCDAO_clean 298 10000 102.4872088246
LUNJEL_clean 298 10000 63.0955614012
MIFTIG_clean 298 10000 25.4313323924
MUFZIY_clean 298 10000 62.7554485763
MUSCIN_clean 298 10000 94.7258519056
NUHQOY_clean 298 10000 75.9274396431
QQQGTA02_clean 298 10000 19.1191664944
RAHPAT_clean 298 10000 118.4930981933
SARMII_clean 298 10000 40.5399933228
VANHEA_clean 298 10000 88.4369138127
YUNKIC_charged 298 10000 36.2210885146
ZARTAP05_clean 298 10000 43.6869728058
acs.inorgchem.6b01060_ic6b01060_si_003_clean 298 10000 60.365846858
ADUROI_clean 298 10000 128.8362579091
AFOYIE_clean 298 10000 102.73673752
CENKAJ_clean 298 10000 45.9802103993
DAHNUW_clean 298 10000 66.7571194955
DEYNIG_clean 298 10000 20.1892719988
FALLOT_clean 298 10000 2.8430129603
HADLUW_clean 298 10000 96.1742239374
HISGIB_clean 298 10000 35.1017399543
HONXAL_clean 298 10000 55.2564070341
IROHAZ_clean 298 10000 4.9433546887
JALLIU_clean 298 10000 102.3383005278
OLUHAG_clean 298 10000 82.6078454474
SIWGUB_clean 298 10000 35.800870333
TUJGAI_clean 298 10000 42.351207293
UVUDUM_clean 298 10000 28.0500790577
VEDFAN_clean 298 10000 69.9205574915
VEDFUH_clean 298 10000 66.8292519589
WASMUB01_clean 298 10000 76.0602932241
YEGCUJ_clean 298 10000 42.3851609462
BUXTOF_clean 298 10000 73.4164799767
EHAFOK_clean 298 10000 53.51603868
KAVKIC_clean 298 10000 22.8447426427
MATFIY_clean 298 10000 78.5778186046
MISQIQ02_clean 298 10000 52.8373635342
NEDWAW_clean 298 10000 90.0910600919
OWUWOU_clean 298 10000 47.6796458598
PODGEW02_clean 298 10000 109.2314612654
POLBOH_clean 298 10000 3.549059992
QERZUI01_clean 298 10000 52.142661746
QIWHEL_clean 298 10000 52.8152148187
QUSHUJ_clean 298 10000 62.8329273204
RUHCED_SL 298 10000 61.9631922958
UMODEH14_clean 298 10000 119.4019298814
VAMQIJ_clean 298 10000 0.1050730798
VUKSOL_clean 298 10000 64.2011791547
WAFKEU06_clean 298 10000 99.3587899287
WUDZEC_clean 298 10000 45.6882479751
XISXEE_clean 298 10000 108.3205344027
ZOYKAB_clean 298 10000 2.3408248911
AVIVEG_clean 298 10000 90.9422408417
BUSRUE_clean 298 10000 66.9085821261
CIVTEH_clean 298 10000 51.0335651185
DUNXUH04_clean 298 10000 89.5226058687
FAKLUA_clean 298 10000 85.6245869253
GAMTOE_clean 298 10000 0.0187940019
HAQROJ_clean 298 10000 91.7336754152
ICITEU_charged 298 10000 120.2863304141
INEPEY_clean 298 10000 45.3223539363
MODMIB_clean 298 10000 2.0668079205
OCUSUB_clean 298 10000 53.1561551316
ORAKUO_clean 298 10000 22.7946722584
OZOPEA_clean 298 10000 15.589977697
PUZJOL_clean 298 10000 50.1550014081
QAYTAL_clean 298 10000 74.9977297905
RUKDOS_clean 298 10000 121.7065427608
VEHKOK_charged 298 10000 71.0049642357
WIYWEI_clean 298 10000 36.1703628982
WOBCAT_clean 298 10000 55.962410441
XAKZAL_clean 298 10000 57.8789403624
BAMMOU_clean 298 10000 72.5769180476
DOQSAF_clean 298 10000 74.4061364909
EXALIZ_clean 298 10000 57.3762181165
HAQKES_clean 298 10000 74.363551055
HIHGEM_manual 298 10000 83.9832479862
IKOZOZ_clean 298 10000 53.4099228726
ja403810k_si_002_clean 298 10000 131.4009277334
ja5b00450_si_006_clean 298 10000 42.4282246983
LORRUH_clean 298 10000 36.1487912477
NOPJOT_clean 298 10000 82.6177746764
NUCPIM_clean 298 10000 87.9253342554
OMABEL_clean 298 10000 83.9579402443
PIDNEX_clean 298 10000 132.4288020537
QUJLAK02_clean 298 10000 37.3121143311
QUPDEL01_clean 298 10000 61.2386465868
UMODEH19_clean 298 10000 109.5811402208
UVUDOG_clean 298 10000 20.7625860386
VAKQAC_clean 298 10000 75.3380807694
VONCIM_clean 298 10000 53.7936436563
WIVRIE_clean 298 10000 56.9533227844
YORGIX_clean 298 10000 60.0326433734
c6ra03969c_c6ra03969c2_clean 298 10000 50.359025733
CEFLEF_clean 298 10000 23.3450181207
CEXHET_clean 298 10000 49.3926179644
ERALIU_clean 298 10000 118.1029373345
ESARAT_clean 298 10000 37.097125571
ETIYEN_clean 298 10000 58.9719484129
FOKGET_clean 298 10000 0.0007343726
FORPIM_clean 298 10000 86.5735510378
HAKSEU_clean 298 10000 85.065132223
IBOZIK_clean 298 10000 74.2512326426
IYESIQ_clean 298 10000 77.9893564353
ja039022msi20031007_110612_clean 298 10000 37.9717644777
JITQEI_clean 298 10000 50.0047219381
NIBJAK_clean 298 10000 145.8840051541
PAMGIV_clean 298 10000 48.563090096
QAWROW_clean 298 10000 29.2125450003
TUDJOS_clean 298 10000 60.1779751524
UMODEH11_clean 298 10000 95.2833232187
UMODEH23_clean 298 10000 122.2804268013
VEHXEN_clean 298 10000 104.8433456033
XUJPEY_clean 298 10000 54.2782356466
AZAVUU_clean 298 10000 52.7789620647
BUFNOG_charged 298 10000 82.6403090057
c5nj00223k_c5nj00223k1_clean 298 10000 104.7397562593
CAYQUQ_clean 298 10000 100.0635056783
CUTBOK_clean 298 10000 89.0841250578
DUVNIS01_charged 298 10000 59.150393075
EZOFUV_clean 298 10000 97.2660912788
FIDRIV_clean 298 10000 101.9706357449
ic102347b_si_001_clean 298 10000 90.1682246755
IQOHUT_clean 298 10000 71.4576352666
LIKFOB_clean 298 10000 68.5855692615
NOBVOR_clean 298 10000 58.1474891896
OTALUS_clean 298 10000 101.740149531
PONSOC_clean 298 10000 87.0908563892
RAHBUZ_clean 298 10000 79.4856752824
SEGMEW_clean 298 10000 12.9962402198
SOHNEJ_clean 298 10000 83.7076452849
TASWAN_clean 298 10000 83.0007176017
UCOJAZ_clean 298 10000 84.5503421239
USAYOE_clean 298 10000 29.0357825861
XASPEP_clean 298 10000 88.8428320517
YARVEV_clean 298 10000 30.4626017762
ZIWMEZ_clean 298 10000 34.2928336193
CAYSIE_clean 298 10000 28.7552744718
CUVHIL02_clean_h 298 10000 79.4816261907
DADXUE_clean 298 10000 28.0485029175
FEYDET_clean 298 10000 43.4244744148
FIPKOG_clean 298 10000 73.62161698
FIPWOS_clean 298 10000 49.9277352576
GANBIH_clean 298 10000 56.3799594765
IBABOF01_clean 298 10000 59.9361290704
ILOWAI_clean 298 10000 28.2879583042
ISENUQ_clean 298 10000 58.0743149785
IYAJOJ_clean 298 10000 70.7092302813
NACXOH_clean 298 10000 30.5659353287
OLURUI01_charged 298 10000 25.0153987683
PIDMEV_clean 298 10000 78.7274864401
SUKRIB_clean 298 10000 35.783899143
UJOWEW_clean 298 10000 60.084781947
VEDFIV_clean 298 10000 65.3201070095
WISVEB_clean 298 10000 113.4649707553
ZUKNAW_clean 298 10000 117.0637549411
acs.cgd.6b00429_1438789-1438792_clean 298 10000 100.3603670986
BEGDEY_clean 298 10000 93.7618277278
FECYUJ_clean 298 10000 87.2730417995
HAJMIQ_clean 298 10000 105.4752550385
HEBZEV_clean 298 10000 64.2521369892
HEFDUT_charged 298 10000 72.4512790835
HIWKII_clean 298 10000 2.1209804309
HOVQUG_clean 298 10000 54.9608392528
KALFIO_clean 298 10000 64.1473536516
KOCCOW_clean 298 10000 63.7304817344
KUDLUR_clean 298 10000 33.5248078099
NUTYEI_clean 298 10000 115.2928879211
OBAHOR_clean 298 10000 70.764851604
PAXWOB_clean 298 10000 2.7465589018
