"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","Min","Median","Q1","predicted"
"182","1220",0.79,21.5,22,2010,1205,37.3765460739,-2318.04,-29.9667,-389.9655,28.2641215435659
"183","12221",0.94,17.8,33,6098,1191,4.0346828884,-1362.61,-44.8364,-203.938,3.98486484972843
"184","12224",0.85,10.1,17.5,4094,1922,4.7025670328,-1099.69,-135.048,-357.108,5.00603242362252
"185","12247",0.97,27.1,47.6,7485,710,2.0409605971,-1243.92,-9.38389,-68.8757,2.06422700737774
"186","12273",0.95,19.9,36.1,7128,1078,2.7872499856,-1182.95,-32.4942,-154.513,2.81654121827162
"187","12275",0.96,21.3,40.6,6389,981,3.8705903762,-1391.94,-25.0863,-146.413,3.59184148955838
"188","12279",0.96,23.5,41.5,6120,852,2.0165180167,-972.196,-18.346,-100.45875,2.08982373283188
"189","12294",0.89,11.5,21.5,5053,1748,4.5999431574,-964.905,-117.8815,-341.17775,4.66568298596625
"190","1230",0.93,36.1,39.3,6135,1197,4.819173527,-1730.8,-40.1146,-216.558,4.8320300833845
"191","12307",0.87,13.9,26.4,4306,1518,9.1339676966,-1652.87,-86.6903,-337.42325,8.24305088919523
"192","1232",0.92,37.6,40.7,5991,1187,4.2967810748,-1595.42,-35.3954,-207.1575,4.53134345578414
"193","12320",0.9,12.6,23,4993,1610,4.9530724587,-1290.48,-92.106,-318.508,4.91122855636381
"194","12393",0.97519,32.47174,56.75201,7211.718022,538.050498,1.5402423955,-937.845,-2.8274,-36.077,1.5536984897133
"195","12397",0.98,37.7,66,8729,439,1.5749011862,-1151.39,-0.161552,-22.4031,1.57327834674211
"196","12433",0.95,31.9,44,6316,898,1.9533461485,-1107.07,-12.9252,-102.265,2.18894402045624
"197","12457",0.92,26,35.6,4519,1105,3.274922939,-1906.26,-26.0967,-183.44825,3.87736318568222
"198","12469",0.95,34.5,48.5,5771,802,3.3097965596,-2026.43,-8.55127,-104.003,3.33472132028056
